location,lats,longs
تهران،تهران،آشتیانی,51.5050552,35.7163745
تهران،تهران،قلی پور,51.358032,35.7145217
تهران،تهران،مرزداران,51.3406203,35.7327101
البرز،کرج،طالقانی(کرج),51.002744547795444,35.8379834
تهران،تهران،هروی,51.4731866,35.7720416
تهران،تهران،سنگلج,51.4125574,35.676766
تهران،تهران،سعدی,51.4244074,35.6934417
تهران،تهران،امیرآباد,50.7948472,35.6819462
البرز،کرج،دانشکده(کرج),50.8819405,35.7922473
تهران،تهران،گاندی,51.4125128,35.7521321
تهران،تهران،گلسار,51.2461131,35.746518
تهران،تهران،پل چوبی,51.4384783,35.7017338
تهران،تهران،گوهردشت(کرج),50.97340055810474,35.83784885
تهران،تهران،راه آهن,51.3977245,35.6594918
تهران،تهران،زویه1(کوروش),51.313264569952466,35.7385116759495
تهران،تهران،سرحد آباد(کرج),51.01130227020783,35.770941088341274
تهران،تهران،ابوذر (منطقه 14),51.4843105,35.6452198
البرز،کرج،جهان نما(کرج),51.0396548,35.7893759
تهران،تهران،میدان نبوت(کرج),50.98865884337952,35.843209288461246
تهران،تهران،باغ فیض,51.2495539,35.5542013
تهران،تهران،دولت اباد,51.4514397,35.6199741
تهران،تهران،شهرزیبا,51.286524598142655,35.7471563
البرز،کرج،سرحد آباد(کرج),51.013877190866474,35.76035516175178
تهران،تهران،بزرگراه رسالت,51.5088621,35.7338118
تهران،تهران،اتوبان محلاتی,51.47664968714782,35.668488509450256
تهران،تهران،شهرک نفت,51.5026035,35.8107903
تهران،تهران،صفائیه,51.4461975,35.6068011
تهران،تهران،هشتگرد,50.7537461,35.917096
تهران،تهران،دهکده المپیک,51.2524869,35.7668514
تهران،تهران،مهرآباد جنوبی,51.3381183,35.6775321
تهران،تهران،جلفا,51.4440013,35.7488317
تهران،تهران،اقدسیه,51.48678657336507,35.7940221
البرز،کرج،شهرک وحدت(کرج),50.938985619168605,35.839845642736954
تهران،تهران،بازار,51.4263323,35.6727861
تهران،تهران،میدان رسالت,51.01582477671431,35.699105700000004
تهران،تهران،حکیم نظامی,51.7525068,35.729855
تهران،تهران،خیابان بهشتی,51.6484924,35.3208221
تهران،تهران،خیابان مرتضوی,51.369284044820276,35.68391079339938
تهران،تهران،خیابان امام خمینی,51.388392,35.6884699
البرز،کرج،کوی کارمندان شمالی(کرج),50.962592,35.8364597
تهران،تهران،تختی,51.4155953,35.625119
تهران،تهران،صفا,51.4521546,35.6947891
تهران،تهران،ستارخان,51.3739064,35.7091545
تهران،تهران،شهر جدید اندیشه,51.028287381861006,35.6968981
تهران،تهران،ماهدشت(کرج),50.7813487,35.7257279
تهران،تهران،فداییان اسلام,51.4363835,35.6278738
تهران،تهران،قیطریه,51.44497675704622,35.79030505
تهران،تهران،متل قو,51.3762023,35.6981018
تهران،تهران،ابوذر (منطقه 15),51.482551,35.644932
تهران،تهران،پیچ شمرون,51.55433623334564,35.84754162408417
البرز،کرج،چهارصد دستگاه(کرج),50.9853274,35.8128109
تهران،تهران،بزرگمهر,51.4018627,35.703687
تهران،تهران،دربند,51.429482,35.8135171
تهران،تهران،کامرانیه,51.4029048,35.6835093
تهران،تهران،خیابان وحدت اسلامی,51.305778871281206,35.74753008017903
تهران،تهران،بلوار پاکنژاد,51.3675095,35.7549208
تهران،تهران،ملارد,50.9790423,35.666763
تهران،تهران،رودهن,51.9063798,35.734772
تهران،تهران،هفت حوض,51.4894177,35.7284069
البرز،کرج،شهرک اندیشه فاز 1(کرج),51.0236406606287,35.67751712308558
تهران،تهران،صیاد‌شیرازی,51.45861585,35.73470545
تهران،تهران،شیراز,51.39514906327034,35.75372395
تهران،تهران،فرامرز عباسی,51.3839294888154,35.66716573714528
تهران،تهران،اختیاریه,51.4611775,35.7863456
تهران،تهران،تهرانسر,51.2547088,35.6933419
تهران،تهران،شهرک دژبان,51.2241103,35.7597021
البرز،کرج،کوهستان,50.9942058,35.8470467
تهران،تهران،تهرانپارس,51.5318398,35.7308782
تهران،تهران،کردستان,51.402507,35.7665291
تهران،تهران،فولادشهر,51.3915672,32.4459762
تهران،تهران،خیابان امام رضا,51.1414277,35.4925873
تهران،تهران،مجیدیه جنوبی,51.4605024,35.7323594
تهران،تهران،ده ونک,51.3945177,35.76806
البرز،کرج،شهرک بنفشه(کرج),50.99833700962414,35.784477387113306
البرز،کرج،کیانمهر(کرج),50.93896123874196,35.83907823872279
تهران،تهران،فاطمی,51.3949258,35.7200943
تهران،تهران،ازگل,51.5131214,35.7886946
تهران،تهران،خیام,51.4166268,35.6731655
تهران،تهران،دامپزشکی,51.3797117,35.6940705
تهران،تهران،بریانک,51.3809967,35.6717026
البرز،کرج،شاه عباسی(کرج),51.00197376942995,35.81043750203876
تهران،تهران،خواجه نصیر  -  حقوقی,51.4370293,35.7024158
تهران،تهران،میدان معلم,51.0627902,35.6565683
تهران،تهران،چهاردانگه,51.3100612,35.6067482
تهران،تهران،خرمشهر,51.3836292,35.6764746
تهران،تهران،خانی آباد,51.8988865,35.3606778
تهران،تهران،شمیران نو,51.498701,35.7590248
تهران،تهران،شهرک غرب,51.3760422,35.7590609
تهران،تهران،منظریه,51.4570865,35.7891107
البرز،کرج،قیطریه,51.439548182668176,35.79173589059272
تهران،تهران،لاله زار,51.4231777,35.6941517
تهران،تهران،نسیم شهر,51.164113,35.5613083
تهران،تهران،فرمانیه,51.3704355,35.6985362
تهران،تهران،صفاشهر,51.19118043314766,35.35644161897287
تهران،تهران،جمالزاده  -  حشمت الدوله,51.388757960866656,35.69902136298741
تهران،تهران،جاده مخصوص کرج,51.0590897,35.7573867
البرز،کرج،دارآباد,51.49049476752545,35.81779986346959
